state,district,category,type,date,crimes
Johor,Batu Pahat,assault,robbery_gang_armed,2022-01-01,0
Johor,Batu Pahat,assault,robbery_gang_unarmed,2016-01-01,56
Johor,Batu Pahat,assault,robbery_gang_unarmed,2017-01-01,47
Johor,Batu Pahat,assault,robbery_gang_unarmed,2018-01-01,33
Johor,Batu Pahat,assault,robbery_gang_unarmed,2019-01-01,37
Johor,Batu Pahat,assault,robbery_gang_unarmed,2020-01-01,32
Johor,Batu Pahat,assault,robbery_gang_unarmed,2021-01-01,9
Johor,Batu Pahat,assault,robbery_gang_unarmed,2022-01-01,5
Johor,Batu Pahat,assault,robbery_solo_armed,2016-01-01,1
Johor,Batu Pahat,assault,robbery_solo_armed,2017-01-01,0
Johor,Batu Pahat,assault,robbery_solo_armed,2018-01-01,0
Johor,Batu Pahat,assault,robbery_solo_armed,2019-01-01,0
Johor,Batu Pahat,assault,robbery_solo_armed,2020-01-01,0
Johor,Batu Pahat,assault,robbery_solo_armed,2021-01-01,0
Johor,Batu Pahat,assault,robbery_solo_armed,2022-01-01,0
Johor,Batu Pahat,assault,robbery_solo_unarmed,2016-01-01,28
Johor,Batu Pahat,assault,robbery_solo_unarmed,2017-01-01,12
Johor,Batu Pahat,assault,robbery_solo_unarmed,2018-01-01,27
Johor,Batu Pahat,assault,robbery_solo_unarmed,2019-01-01,29
Johor,Batu Pahat,assault,robbery_solo_unarmed,2020-01-01,33
Johor,Batu Pahat,assault,robbery_solo_unarmed,2021-01-01,11
Johor,Batu Pahat,assault,robbery_solo_unarmed,2022-01-01,12
Johor,Batu Pahat,property,all,2016-01-01,621
Johor,Batu Pahat,property,all,2017-01-01,558
Johor,Batu Pahat,property,all,2018-01-01,584
Johor,Batu Pahat,property,all,2019-01-01,524
Johor,Batu Pahat,property,all,2020-01-01,415
Johor,Batu Pahat,property,all,2021-01-01,200
Johor,Batu Pahat,property,all,2022-01-01,262
Johor,Batu Pahat,property,break_in,2016-01-01,115
Johor,Batu Pahat,property,break_in,2017-01-01,90
Johor,Batu Pahat,property,break_in,2018-01-01,158
Johor,Batu Pahat,property,break_in,2019-01-01,157
Johor,Batu Pahat,property,break_in,2020-01-01,122
Johor,Batu Pahat,property,break_in,2021-01-01,55
Johor,Batu Pahat,property,break_in,2022-01-01,80
Johor,Batu Pahat,property,theft_other,2016-01-01,192
Johor,Batu Pahat,property,theft_other,2017-01-01,119
Johor,Batu Pahat,property,theft_other,2018-01-01,140
Johor,Batu Pahat,property,theft_other,2019-01-01,127
Johor,Batu Pahat,property,theft_other,2020-01-01,122
Johor,Batu Pahat,property,theft_other,2021-01-01,72
Johor,Batu Pahat,property,theft_other,2022-01-01,83
Johor,Batu Pahat,property,theft_vehicle_lorry,2016-01-01,16
Johor,Batu Pahat,property,theft_vehicle_lorry,2017-01-01,10
Johor,Batu Pahat,property,theft_vehicle_lorry,2018-01-01,15
Johor,Batu Pahat,property,theft_vehicle_lorry,2019-01-01,4
Johor,Batu Pahat,property,theft_vehicle_lorry,2020-01-01,12
Johor,Batu Pahat,property,theft_vehicle_lorry,2021-01-01,2
Johor,Batu Pahat,property,theft_vehicle_lorry,2022-01-01,7
Johor,Batu Pahat,property,theft_vehicle_motorcar,2016-01-01,41
Johor,Batu Pahat,property,theft_vehicle_motorcar,2017-01-01,52
Johor,Batu Pahat,property,theft_vehicle_motorcar,2018-01-01,46
Johor,Batu Pahat,property,theft_vehicle_motorcar,2019-01-01,28
Johor,Batu Pahat,property,theft_vehicle_motorcar,2020-01-01,38
Johor,Batu Pahat,property,theft_vehicle_motorcar,2021-01-01,12
Johor,Batu Pahat,property,theft_vehicle_motorcar,2022-01-01,16
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2016-01-01,257
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2017-01-01,287
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2018-01-01,225
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2019-01-01,208
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2020-01-01,121
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2021-01-01,59
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2022-01-01,76
Johor,Iskandar Puteri,assault,all,2016-01-01,0
Johor,Iskandar Puteri,assault,all,2017-01-01,195
Johor,Iskandar Puteri,assault,all,2018-01-01,149
Johor,Iskandar Puteri,assault,all,2019-01-01,170
Johor,Iskandar Puteri,assault,all,2020-01-01,96
Johor,Iskandar Puteri,assault,all,2021-01-01,68
Johor,Iskandar Puteri,assault,all,2022-01-01,80
Johor,Iskandar Puteri,assault,causing_injury,2016-01-01,0
Johor,Iskandar Puteri,assault,causing_injury,2017-01-01,54
Johor,Iskandar Puteri,assault,causing_injury,2018-01-01,61
Johor,Iskandar Puteri,assault,causing_injury,2019-01-01,46
Johor,Iskandar Puteri,assault,causing_injury,2020-01-01,23
Johor,Iskandar Puteri,assault,causing_injury,2021-01-01,20
Johor,Iskandar Puteri,assault,causing_injury,2022-01-01,30
Johor,Iskandar Puteri,assault,murder,2016-01-01,0
Johor,Iskandar Puteri,assault,murder,2017-01-01,4
Johor,Iskandar Puteri,assault,murder,2018-01-01,4
Johor,Iskandar Puteri,assault,murder,2019-01-01,4
Johor,Iskandar Puteri,assault,murder,2020-01-01,3
Johor,Iskandar Puteri,assault,murder,2021-01-01,2
Johor,Iskandar Puteri,assault,murder,2022-01-01,3
Johor,Iskandar Puteri,assault,rape,2016-01-01,0
Johor,Iskandar Puteri,assault,rape,2017-01-01,9
Johor,Iskandar Puteri,assault,rape,2018-01-01,13
Johor,Iskandar Puteri,assault,rape,2019-01-01,16
Johor,Iskandar Puteri,assault,rape,2020-01-01,9
Johor,Iskandar Puteri,assault,rape,2021-01-01,4
Johor,Iskandar Puteri,assault,rape,2022-01-01,9
Johor,Iskandar Puteri,assault,robbery_gang_armed,2016-01-01,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2017-01-01,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2018-01-01,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2019-01-01,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2020-01-01,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2021-01-01,1
Johor,Iskandar Puteri,assault,robbery_gang_armed,2022-01-01,0
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2016-01-01,0
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2017-01-01,102
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2018-01-01,53
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2019-01-01,74
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2020-01-01,17
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2021-01-01,31
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2022-01-01,21
Johor,Iskandar Puteri,assault,robbery_solo_armed,2016-01-01,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2017-01-01,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2018-01-01,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2019-01-01,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2020-01-01,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2021-01-01,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2022-01-01,0
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2016-01-01,0
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2017-01-01,26
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2018-01-01,18
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2019-01-01,30
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2020-01-01,44
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2021-01-01,10
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2022-01-01,17
Johor,Iskandar Puteri,property,all,2016-01-01,0
Johor,Iskandar Puteri,property,all,2017-01-01,727
Johor,Iskandar Puteri,property,all,2018-01-01,784
Johor,Iskandar Puteri,property,all,2019-01-01,784
Johor,Iskandar Puteri,property,all,2020-01-01,538
Johor,Iskandar Puteri,property,all,2021-01-01,332
Johor,Iskandar Puteri,property,all,2022-01-01,356
Johor,Iskandar Puteri,property,break_in,2016-01-01,0
Johor,Iskandar Puteri,property,break_in,2017-01-01,92
Johor,Iskandar Puteri,property,break_in,2018-01-01,47
Johor,Iskandar Puteri,property,break_in,2019-01-01,76
Johor,Iskandar Puteri,property,break_in,2020-01-01,77
Johor,Iskandar Puteri,property,break_in,2021-01-01,68
Johor,Iskandar Puteri,property,break_in,2022-01-01,77
Johor,Iskandar Puteri,property,theft_other,2016-01-01,0
Johor,Iskandar Puteri,property,theft_other,2017-01-01,151
Johor,Iskandar Puteri,property,theft_other,2018-01-01,176
Johor,Iskandar Puteri,property,theft_other,2019-01-01,228
Johor,Iskandar Puteri,property,theft_other,2020-01-01,156
Johor,Iskandar Puteri,property,theft_other,2021-01-01,114
Johor,Iskandar Puteri,property,theft_other,2022-01-01,125
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2016-01-01,0
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2017-01-01,17
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2018-01-01,20
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2019-01-01,36
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2020-01-01,11
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2021-01-01,6
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2022-01-01,5
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2016-01-01,0
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2017-01-01,130
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2018-01-01,138
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2019-01-01,131
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2020-01-01,122
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2021-01-01,56
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2022-01-01,54
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2016-01-01,0
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2017-01-01,337
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2018-01-01,403
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2019-01-01,313
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2020-01-01,172
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2021-01-01,88
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2022-01-01,95
Johor,Johor Bahru Selatan,assault,all,2016-01-01,977
Johor,Johor Bahru Selatan,assault,all,2017-01-01,956
Johor,Johor Bahru Selatan,assault,all,2018-01-01,474
Johor,Johor Bahru Selatan,assault,all,2019-01-01,429
Johor,Johor Bahru Selatan,assault,all,2020-01-01,226
Johor,Johor Bahru Selatan,assault,all,2021-01-01,150
Johor,Johor Bahru Selatan,assault,all,2022-01-01,213
Johor,Johor Bahru Selatan,assault,causing_injury,2016-01-01,200
Johor,Johor Bahru Selatan,assault,causing_injury,2017-01-01,170
Johor,Johor Bahru Selatan,assault,causing_injury,2018-01-01,115
Johor,Johor Bahru Selatan,assault,causing_injury,2019-01-01,126
Johor,Johor Bahru Selatan,assault,causing_injury,2020-01-01,67
Johor,Johor Bahru Selatan,assault,causing_injury,2021-01-01,62
Johor,Johor Bahru Selatan,assault,causing_injury,2022-01-01,45
Johor,Johor Bahru Selatan,assault,murder,2016-01-01,15
Johor,Johor Bahru Selatan,assault,murder,2017-01-01,23
Johor,Johor Bahru Selatan,assault,murder,2018-01-01,9
Johor,Johor Bahru Selatan,assault,murder,2019-01-01,10
Johor,Johor Bahru Selatan,assault,murder,2020-01-01,4
Johor,Johor Bahru Selatan,assault,murder,2021-01-01,5
Johor,Johor Bahru Selatan,assault,murder,2022-01-01,7
Johor,Johor Bahru Selatan,assault,rape,2016-01-01,42
Johor,Johor Bahru Selatan,assault,rape,2017-01-01,28
Johor,Johor Bahru Selatan,assault,rape,2018-01-01,24
Johor,Johor Bahru Selatan,assault,rape,2019-01-01,27
Johor,Johor Bahru Selatan,assault,rape,2020-01-01,17
Johor,Johor Bahru Selatan,assault,rape,2021-01-01,17
Johor,Johor Bahru Selatan,assault,rape,2022-01-01,26
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2016-01-01,5
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2017-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2018-01-01,1
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2019-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2020-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2021-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2022-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2016-01-01,506
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2017-01-01,528
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2018-01-01,217
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2019-01-01,192
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2020-01-01,44
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2021-01-01,39
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2022-01-01,68
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2016-01-01,2
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2017-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2018-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2019-01-01,1
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2020-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2021-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2022-01-01,0
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2016-01-01,207
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2017-01-01,207
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2018-01-01,108
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2019-01-01,73
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2020-01-01,94
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2021-01-01,27
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2022-01-01,67
Johor,Johor Bahru Selatan,property,all,2016-01-01,2802
Johor,Johor Bahru Selatan,property,all,2017-01-01,2275
Johor,Johor Bahru Selatan,property,all,2018-01-01,2042
Johor,Johor Bahru Selatan,property,all,2019-01-01,1766
Johor,Johor Bahru Selatan,property,all,2020-01-01,1265
Johor,Johor Bahru Selatan,property,all,2021-01-01,609
Johor,Johor Bahru Selatan,property,all,2022-01-01,733
Johor,Johor Bahru Selatan,property,break_in,2016-01-01,432
Johor,Johor Bahru Selatan,property,break_in,2017-01-01,263
Johor,Johor Bahru Selatan,property,break_in,2018-01-01,220
Johor,Johor Bahru Selatan,property,break_in,2019-01-01,283
Johor,Johor Bahru Selatan,property,break_in,2020-01-01,287
